article_id,fetched_at_utc,source_id,publisher_name,source_type,country_iso3,language,tier,title,summary,url,published_at,primary_dclo_domain,dclo_confidence,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,matched_keywords_json,secondary_dclo_domains_json
01b54d1f6402754eab7bcb2a,2026-09-25T01:16:21.381770+00:00,channel_news_asia_tech,CNA Technology,publisher_rss,SGP,en,regional,"Oil prices fall as markets look to Iran truce, but remain wary of attacks on oil facilities",,https://www.channelnewsasia.com/business/oil-prices-fall-markets-look-iran-truce-remain-wary-attacks-oil-facilities-6409776,2026-09-25T01:11:25+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
73bdd6326c63c7559376fce8,2026-09-25T01:16:21.381770+00:00,gn_china_zh,Google News China (Chinese),google_news_rss,CHN,zh,regional_language,行进中国｜用活数字技术讲好红色故事 - k.sina.com.cn,行进中国｜用活数字技术讲好红色故事 &nbsp;&nbsp; k.sina.com.cn,https://news.google.com/rss/articles/CBMickFVX3lxTE5kb1dhenJyNU40TDlFWkZTYzBRMlBTeGVuSVQ5SER6cWRUelZ0d0pvdGF6QzZNc2I5SjViS1lqR2dGTG1wUm5pVExBdkZTY2d4V19oREVjZXBMRVo1dnFvOFVaaUZlT1FsUHBtOXYzZ01jdw?oc=5,2026-09-25T01:07:00+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
00171b3267e9edc1fab36ed2,2026-09-25T01:16:21.381770+00:00,gn_japan_ja,Google News Japan (Japanese),google_news_rss,JPN,ja,regional_language,だめんず・コップ3｜映画/ブルーレイ・デジタル配信 - 20世紀スタジオ公式サイト,だめんず・コップ3｜映画/ブルーレイ・デジタル配信 &nbsp;&nbsp; 20世紀スタジオ公式サイト,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1WVmNWbkxfT1dVX09STGNqSFYteWpDeEN6MWMzc2NMZkFiVlpCa1VGemwwemplOThNVm9FeDQ3QlpNY1pSRFNVaTZSbXZtQU4wdTVqdmQ4UUQwb0tDUmZmSnl4NlR5SEE?oc=5,2026-09-25T01:05:21+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
1c65f9a136f45479f22bb7e7,2026-09-25T01:16:21.381770+00:00,gn_india_hi,Google News India (Hindi),google_news_rss,IND,hi,regional_language,डिजिटल वित्त - जहां डेटा अर्थव्यवस्था का 'सॉफ्ट इंफ्रास्ट्रक्चर' बन जाता है। - vietnam.vn,डिजिटल वित्त - जहां डेटा अर्थव्यवस्था का 'सॉफ्ट इंफ्रास्ट्रक्चर' बन जाता है। &nbsp;&nbsp; vietnam.vn,https://news.google.com/rss/articles/CBMikgFBVV95cUxOcEpDelFuUVUzdDJxMjFzcFdPME5BWXAyaV9seGhPYWVUeFQ5eG9qWjdVMW9RR0hsMmIzb1JIU3pTWUJrT2Z3Um41dmhFZkRveEVwd3RTWm5kQnVaM1RXRU1rMEpGMkdVeVpUV1NpMnVXTmY5RWJrUThOREEwcXEyWmExWTRVVlA1Q3lNZkloVHVHQQ?oc=5,2026-09-25T01:04:18+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
08dffb54634d3f124e0df638,2026-09-25T01:16:21.381770+00:00,gn_china_zh,Google News China (Chinese),google_news_rss,CHN,zh,regional_language,网络音频用户规模持续扩大，内容品类日益丰富——耳朵听到的文化新声-中新网 - chinanews.com.cn,网络音频用户规模持续扩大，内容品类日益丰富——耳朵听到的文化新声-中新网 &nbsp;&nbsp; chinanews.com.cn,https://news.google.com/rss/articles/CBMiakFVX3lxTFBERlpyYWtNbFpxUjdOM3Nxc1hadVFXTFo4NzZFNG9GTzZROTFBQ21CYzdKbnpQd2cxeTViYUg1Ym5ydTZ2SUdOX1JSTzdtcmU3TTdVTVU3TXBONURmbDJmZUxNeFhfOWdULUE?oc=5,2026-09-25T01:02:22+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
2c5044bdfdbc7bb763f50147,2026-09-25T01:16:21.381770+00:00,gn_korea_ko,Google News Korea (Korean),google_news_rss,KOR,ko,regional_language,"OpenAI, 수 주 내 GPT-6 Cyber 사이버보안 AI 모델 공개 예정 - kr.investing.com","OpenAI, 수 주 내 GPT-6 Cyber 사이버보안 AI 모델 공개 예정 &nbsp;&nbsp; kr.investing.com",https://news.google.com/rss/articles/CBMicEFVX3lxTFBILWx2OGJRdTZmNEp2YjllLXNHZUxZWXROTWFhNHZidTBvT0FRTUJSaTJ1ODJzY0RvOFBhajB6VnNsZEZJMGU5T3NMeGVxTnVwejhVeGNLa2dLQ2NCVHhiRGdndmk1aG14X0szc3phRUU?oc=5,2026-09-25T01:02:00+00:00,AGR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [""ko:사이버보안""], ""ECO"": [], ""OUT"": []}",[]
c69d9bb291054b74e3fe8cc2,2026-09-25T01:16:21.381770+00:00,gn_mexico_es,Google News Mexico (Spanish),google_news_rss,MEX,es,regional_language,"Acelerar la digitalización, tomando como referencia la eficacia en la prestación de servicios a ciudadanos y empresas. - Vietnam.vn","Acelerar la digitalización, tomando como referencia la eficacia en la prestación de servicios a ciudadanos y empresas. &nbsp;&nbsp; Vietnam.vn",https://news.google.com/rss/articles/CBMinwFBVV95cUxPZUprNXNLSFdwYjdESERwd3RvQjF3czF0dEYwT1BvUWNWZ0c4dE10X05zVlRpQzQ1c3p3bnVTVHhNWXZnblFHQ3YwSVJ3VkFibE54WVBiVUN0dC1WQkJ2eUxIRlZBZ1M4MUtpV3lrZUNSamNOZWltWk1CSzJvUWU2ZE45YmY5Z2RtVTZiSGhDbXFuV0tsMVVPOERLVHpFXzA?oc=5,2026-09-25T01:00:11+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
e47fe63790cebe896269c6ca,2026-09-25T01:16:21.381770+00:00,gn_japan_ja,Google News Japan (Japanese),google_news_rss,JPN,ja,regional_language,KELA、富士通とサイバーセキュリティ協業契約を締結 - Newscast.jp,KELA、富士通とサイバーセキュリティ協業契約を締結 &nbsp;&nbsp; Newscast.jp,https://news.google.com/rss/articles/CBMiT0FVX3lxTE8zampmLWJxaWdzUExBYXY5XzE2M2F6NmE1TjNsd1dLR19fbnVFcHlMak1TRzM1S1p6eUtGZWVwS3lUazJkYTBPdXR5RWU0RjA?oc=5,2026-09-25T01:00:00+00:00,AGR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [""ja:サイバーセキュリティ""], ""ECO"": [], ""OUT"": []}",[]
165ec09eebb134684ecb151c,2026-09-25T01:16:21.381770+00:00,gn_japan_ja,Google News Japan (Japanese),google_news_rss,JPN,ja,regional_language,『だめんず・コップ3』本日デジタル配信開始（購入）！ - 20世紀スタジオ公式サイト,『だめんず・コップ3』本日デジタル配信開始（購入）！ &nbsp;&nbsp; 20世紀スタジオ公式サイト,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBzT2pncy13WUVsRXI0ZkZVZWx5a1N6QjNjSUhCUGtNY2pDSHRRcGMyQ0Y1U0d4QVBrRldEN29HdVdOdjZGUmZlM3JWTXBZWGtTcDA1dG5LeXc2Q0syZFFF?oc=5,2026-09-25T01:00:00+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
91d759a6f269f678070c0cc3,2026-09-25T01:16:21.381770+00:00,gn_korea_ko,Google News Korea (Korean),google_news_rss,KOR,ko,regional_language,해외서 더 많이 찾는 'K-멘탈 서비스'…디지털 치료제로 외연 확장 - 유니콘팩토리,해외서 더 많이 찾는 'K-멘탈 서비스'…디지털 치료제로 외연 확장 &nbsp;&nbsp; 유니콘팩토리,https://news.google.com/rss/articles/CBMibEFVX3lxTE1OU0xMYXE0cmxKOTRCREZhdUllUnJIZFlLZHVWaHRZX1dmd3haM2tnLXBhYm1nUGh2bVVuVHRpR2k3eGc3V0xlSjNLdUsxU18zU2ZxbDBhMk8xU25tOXVscWdoNjZMLXlnN0VSZw?oc=5,2026-09-25T01:00:00+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
47ad6566651528f2df7b8d66,2026-09-25T01:16:21.381770+00:00,gn_japan_ja,Google News Japan (Japanese),google_news_rss,JPN,ja,regional_language,「脱炭素化・エネルギー転換に資する我が国技術の国際実証事業」の2026年度第2回公募について - nedo.go.jp,「脱炭素化・エネルギー転換に資する我が国技術の国際実証事業」の2026年度第2回公募について &nbsp;&nbsp; nedo.go.jp,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5YdURnNlQtbW0wNG1QcFBkaV9QZ1FOd1hlc1V1Y1hDNndwZ0Y2MHlCY2RtQU9IWk1BY2RWRFBkR2pGVU8wcHNSZEhIY1ZaY2ZsRDVpWkk0bE5jWGxKLWVZ?oc=5,2026-09-25T00:57:23+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
7a81e70512e5877b621e00df,2026-09-25T01:16:21.381770+00:00,gn_japan_ja,Google News Japan (Japanese),google_news_rss,JPN,ja,regional_language,「BioJapan2026」への出展 - nedo.go.jp,「BioJapan2026」への出展 &nbsp;&nbsp; nedo.go.jp,https://news.google.com/rss/articles/CBMiV0FVX3lxTFBHLVhJX1JJM1lPa1BvXzZmc3d6VE45U0U2eUYtZG01LWJUdDB5aWh6UnNScUh4WFM0bTVxZ21WZWhpWmRsTTdQWWtTN2ZTSnVNVzJ1V2ZCQQ?oc=5,2026-09-25T00:57:23+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
3f6adf6e946902a5b1bfae1a,2026-09-25T01:16:21.381770+00:00,gn_japan_ja,Google News Japan (Japanese),google_news_rss,JPN,ja,regional_language,フジ、レース題材の連ドラ放送へ - 朝日新聞,フジ、レース題材の連ドラ放送へ &nbsp;&nbsp; 朝日新聞,https://news.google.com/rss/articles/CBMiXEFVX3lxTE90WGRtOHlBR0Q0YWtRX0Nva0xmWFBNeHdiSWlmSnIyWEhFeXFlSTlvb2ZYVEpidkh2RktLbXR2Tm5jQ1lfaWtXbGRuR2NORXVneWJfbVp3ZmE0aF9L?oc=5,2026-09-25T00:51:13+00:00,UNMAPPED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ACC"": [], ""SKL"": [], ""SRV"": [], ""AGR"": [], ""ECO"": [], ""OUT"": []}",[]
